cbr_rate,avg_throughput1,std_throughput1,avg_latency1,std_latency1,avg_drops1,std_drops1,avg_throughput2,std_throughput2,avg_latency2,std_latency2,avg_drops2,std_drops2
1,4.4171605047,1.4512898554,0.0137088636,0.0007282740,0.0000000000,0.0000000000,4.4217463522,1.4470142009,0.0136896004,0.0006697525,0.0000000000,0.0000000000
2,3.9651909332,1.1904748781,0.0142463593,0.0009144253,0.0000000000,0.0000000000,3.9458685242,1.1885031404,0.0142243644,0.0008609463,0.0000000000,0.0000000000
3,3.3753681518,0.9174397705,0.0146515071,0.0010113622,0.8200000000,1.4239382009,3.5910413019,0.9151153768,0.0146348964,0.0009970052,0.7000000000,1.1532562595
4,2.9801376833,0.8536494737,0.0154995661,0.0008299079,1.9400000000,2.1854976550,3.0485308860,0.8562190971,0.0154944267,0.0008401748,1.8400000000,2.1200000000
5,2.5204353984,0.4736389567,0.0170100796,0.0014784651,2.0800000000,2.0575713839,2.5023223665,0.4740709605,0.0169724707,0.0014675658,2.2000000000,2.0880613018
6,2.0531559982,0.5838286458,0.0175564551,0.0017594895,2.6200000000,1.6357261384,1.9879738341,0.5852326300,0.0174899039,0.0017200166,2.6000000000,1.5874507866
7,1.5481301493,0.3276660075,0.0189445907,0.0017032753,2.4400000000,1.6511813952,1.5449576208,0.3239004097,0.0189394299,0.0018183564,2.7600000000,1.9754493160
8,1.0751348894,0.2254417808,0.0193764178,0.0008164975,7.8400000000,3.2702293498,1.0380419769,0.2354659318,0.0193490238,0.0008501164,8.0400000000,3.5097578264
9,0.6039947439,0.1021049083,0.0189328071,0.0003032520,55.9800000000,32.0527627514,0.6121606566,0.1024092890,0.0189010625,0.0003228269,55.1200000000,32.3756945871
