cbr_rate,avg_throughput1,std_throughput1,avg_latency1,std_latency1,avg_drops1,std_drops1,avg_throughput2,std_throughput2,avg_latency2,std_latency2,avg_drops2,std_drops2
1,7.1086676819,0.3118792368,0.0254480197,0.0014558966,21.3000000000,8.0280757346,1.5052761740,0.3312167045,0.0219278519,0.0030998655,13.4600000000,7.2916664762
2,5.9924549998,0.4778165833,0.0215503699,0.0018724959,31.0600000000,5.1474653957,1.5678358942,0.5990148189,0.0193514197,0.0026919073,8.9600000000,6.5877462003
3,4.9209739155,0.4777481405,0.0195979588,0.0013453020,38.0200000000,7.8854042382,1.7084377254,0.5971087165,0.0182601744,0.0019373753,14.0400000000,6.0859181723
4,3.8842664260,0.3413640656,0.0185350019,0.0009358034,45.8200000000,9.4375632448,1.8297041924,0.4471328664,0.0176228592,0.0011362971,27.5200000000,7.2835156346
5,2.9270828060,0.4584797720,0.0170170315,0.0008648542,55.8000000000,13.8173803595,1.8631639822,0.5699097534,0.0163868618,0.0010235679,26.5800000000,8.1953401394
6,2.1197169427,0.3179198661,0.0166926728,0.0005431105,66.7800000000,19.5000410256,1.8132544171,0.4046681791,0.0163476551,0.0005623047,32.2000000000,7.7304592360
7,1.5965147273,0.1616395016,0.0167454603,0.0003459892,71.5000000000,11.4162165361,1.4411636995,0.2026967220,0.0163883382,0.0003186360,48.2000000000,9.0487568207
8,1.1391839714,0.0944531003,0.0172049683,0.0004289911,85.7600000000,12.6056495271,0.9833366789,0.1294889025,0.0170758411,0.0003616396,53.5600000000,8.8705354968
9,0.6272361948,0.0836533872,0.0187374082,0.0004286768,114.9600000000,22.5219537341,0.6184494272,0.0972605186,0.0186340748,0.0002675446,71.3400000000,18.8527027240
