cbr_rate,avg_throughput1,std_throughput1,avg_latency1,std_latency1,avg_drops1,std_drops1,avg_throughput2,std_throughput2,avg_latency2,std_latency2,avg_drops2,std_drops2
1,4.0297981327,0.3847463404,0.0220366443,0.0004827574,30.8600000000,7.9271937027,3.9741791738,0.3591326659,0.0220368055,0.0005993079,32.5800000000,9.3489892502
2,3.3799994628,0.2766804230,0.0190322151,0.0004866547,42.5800000000,10.1608857882,3.4753691989,0.3170418624,0.0190047632,0.0004795637,42.3400000000,8.1378375506
3,2.9622107548,0.3099888779,0.0174458385,0.0002916138,47.7800000000,10.9622807846,2.9448560156,0.3439399231,0.0173966250,0.0003064864,48.5400000000,9.9422532657
4,2.4087306282,0.2235095667,0.0158837779,0.0002504340,54.3600000000,11.6683503547,2.4393209496,0.2301616031,0.0158888096,0.0002248516,53.7400000000,11.6581473657
5,1.9982734009,0.1590534392,0.0154815765,0.0001635177,59.3400000000,13.8139205152,1.9988294781,0.1449408062,0.0154472385,0.0002006324,60.7000000000,11.7426572802
6,1.7290156283,0.1537635171,0.0158698343,0.0001976617,62.8400000000,18.9793150561,1.7000151478,0.1592964977,0.0158971272,0.0002000179,65.4200000000,15.8329908735
7,1.2361704153,0.0741971906,0.0152535367,0.0001482259,67.0800000000,10.6636579090,1.2489284007,0.0814739138,0.0152619842,0.0001358878,65.7400000000,7.9794987311
8,0.9245617080,0.0576134162,0.0159568305,0.0001493750,70.5600000000,10.4578391650,0.9328371525,0.0521206756,0.0159725838,0.0001839030,70.5600000000,7.4864143620
9,0.5924686711,0.0386944835,0.0177760872,0.0002308338,87.0800000000,15.5252568417,0.6014404367,0.0412664712,0.0177247377,0.0002199388,87.8800000000,12.6200475435
