cbr_rate,avg_throughput,std_throughput,avg_latency,std_latency,avg_drops,std_drops
1,8.5487518074,0.0000414880,0.0130282191,0.0000001038,0.0000000000,0.0000000000
2,7.6611522589,0.0000595728,0.0122351413,0.0000000918,0.0000000000,0.0000000000
3,6.7579837084,0.0000310843,0.0133247759,0.0000000716,0.0000000000,0.0000000000
4,5.8265702842,0.0034392581,0.0135149305,0.0000013954,0.0000000000,0.0000000000
5,4.8801537869,0.0000140600,0.0137745015,0.0000001331,0.0000000000,0.0000000000
6,3.9371182473,0.0000153215,0.0141981051,0.0000000711,0.0000000000,0.0000000000
7,2.9780276035,0.0002023849,0.0124769451,0.0004180384,0.0000000000,0.0000000000
8,1.9914337299,0.0000007766,0.0162784417,0.0000000080,3.0000000000,0.0000000000
9,0.9862908276,0.0000024144,0.0187962606,0.0000000629,10.0000000000,0.0000000000
