cbr_rate,avg_throughput,std_throughput,avg_latency,std_latency,avg_drops,std_drops
1,7.8218444993,0.1239729677,0.0209491244,0.0003742367,9.0000000000,0.0000000000
2,6.8672171145,0.1712213035,0.0182726994,0.0002232399,24.5098039216,1.4868383224
3,5.5758433449,0.0898562615,0.0164286597,0.0000231781,39.0588235294,2.5081183065
4,4.6388538157,0.4594819273,0.0148209612,0.0003060129,41.7843137255,3.3036742795
5,3.2993584236,0.0422191833,0.0142702082,0.0000132445,62.4901960784,2.1726693532
6,2.8854155396,0.0400859297,0.0144606080,0.0001795609,59.8431372549,1.5258883497
7,1.9535275774,0.0036546194,0.0139817553,0.0000073451,50.3333333333,0.5829830881
8,1.2757815757,0.0000003771,0.0144182923,0.0000000367,53.0000000000,0.0000000000
9,0.8646096031,0.0115735760,0.0160463825,0.0000489129,80.6862745098,0.6998654234
