time_ticks,throughput_ticks
0.613120,4.451200
0.613952,4.409600
0.614784,4.368000
0.615616,4.326400
0.616448,4.284800
0.617280,4.243200
0.618112,4.201600
0.618944,4.160000
0.619776,4.118400
0.620608,4.076800
0.621440,4.035200
0.622272,3.993600
0.623104,3.952000
0.623936,3.910400
0.624768,3.868800
0.625600,3.827200
0.626432,3.785600
0.627264,3.744000
0.628096,3.702400
0.628928,3.660800
0.629760,3.619200
0.630592,3.577600
0.631424,3.536000
0.632256,3.494400
0.633088,3.452800
0.633920,3.411200
0.634752,3.369600
0.635584,3.328000
0.636416,3.286400
0.637248,3.244800
0.638080,3.203200
0.638912,3.161600
0.639744,3.120000
0.640576,3.078400
0.657408,3.036800
0.658240,2.995200
0.659072,2.953600
0.659904,2.912000
0.660736,2.870400
0.661568,2.828800
0.662400,2.787200
0.663232,2.745600
0.664064,2.704000
0.664896,2.662400
0.665728,2.620800
0.666560,2.579200
0.667392,2.537600
0.668224,2.496000
0.669056,2.454400
0.669888,2.412800
0.670720,2.371200
0.671552,2.329600
0.672384,2.288000
0.673216,2.246400
0.674048,2.204800
0.674880,2.163200
0.675712,2.121600
0.676544,2.080000
0.677376,2.038400
0.678208,1.996800
0.679040,1.955200
0.679872,1.913600
0.680704,1.872000
0.681536,1.830400
0.682368,1.788800
0.683200,1.747200
0.684032,1.705600
0.684864,1.664000
0.685696,1.622400
0.686528,1.580800
0.687360,1.539200
0.688192,1.497600
0.689024,1.456000
0.689856,1.414400
0.690688,1.372800
0.691520,1.331200
0.692352,1.289600
0.693184,1.248000
0.694016,1.206400
0.694848,1.164800
0.695680,1.123200
0.696512,1.081600
0.697344,1.040000
0.698176,0.998400
0.699008,0.956800
0.699840,0.915200
0.700672,0.873600
0.701504,0.832000
0.702336,0.790400
0.703168,0.748800
0.704000,0.707200
0.704832,0.665600
0.705664,0.624000
0.706496,0.582400
0.707328,0.540800
0.708160,0.499200
0.708992,0.457600
0.709824,0.416000
0.710656,0.374400
0.711488,0.332800
0.712320,0.291200
0.713152,0.249600
0.713984,0.208000
0.714816,0.166400
0.715648,0.124800
0.716480,0.083200
0.717312,0.041600
0.718144,0.000000
0.780736,0.041600
0.843328,0.083200
0.844160,0.124800
0.905920,0.166400
0.906752,0.208000
0.907584,0.249600
0.908416,0.291200
0.968512,0.332800
0.969344,0.374400
0.970176,0.416000
0.971008,0.457600
0.971840,0.499200
0.972672,0.540800
0.980736,0.499200
1.031104,0.540800
1.031936,0.582400
1.032768,0.624000
1.033600,0.665600
1.034432,0.707200
1.035264,0.748800
1.036096,0.790400
1.036928,0.832000
1.037760,0.873600
1.038592,0.915200
1.039424,0.956800
1.040256,0.998400
1.041088,1.040000
1.041920,1.081600
1.042752,1.123200
1.043328,1.081600
1.044160,1.040000
1.093696,1.081600
1.098688,1.123200
1.099520,1.164800
1.100352,1.206400
1.101184,1.248000
1.102016,1.289600
1.102848,1.331200
1.103680,1.372800
1.104512,1.414400
1.105344,1.456000
1.105920,1.414400
1.106176,1.456000
1.106752,1.414400
1.107008,1.456000
1.107584,1.414400
1.107840,1.456000
1.108416,1.414400
1.108672,1.456000
1.156288,1.497600
1.161280,1.539200
1.162112,1.580800
1.162944,1.622400
1.163776,1.664000
1.164608,1.705600
1.165440,1.747200
1.166272,1.788800
1.167104,1.830400
1.167936,1.872000
1.168512,1.830400
1.168768,1.872000
1.169344,1.830400
1.169600,1.872000
1.170176,1.830400
1.170432,1.872000
1.171008,1.830400
1.171264,1.872000
1.171840,1.830400
1.172096,1.872000
1.172672,1.830400
1.172928,1.872000
1.173760,1.913600
1.174592,1.955200
1.175424,1.996800
1.176256,2.038400
1.177088,2.080000
1.177920,2.121600
1.178752,2.163200
1.179584,2.204800
1.180416,2.246400
1.181248,2.288000
1.182080,2.329600
1.182912,2.371200
1.183744,2.412800
1.184576,2.454400
1.185408,2.496000
1.186240,2.537600
1.187072,2.579200
1.218880,2.620800
1.223872,2.662400
1.231104,2.620800
1.231936,2.579200
1.232768,2.537600
1.233600,2.496000
1.234432,2.454400
1.234688,2.496000
1.235264,2.454400
1.235520,2.496000
1.236096,2.454400
1.236352,2.496000
1.236928,2.454400
1.237184,2.496000
1.237760,2.454400
1.238016,2.496000
1.238592,2.454400
1.238848,2.496000
1.239424,2.454400
1.239680,2.496000
1.240256,2.454400
1.240512,2.496000
1.241088,2.454400
1.241344,2.496000
1.241920,2.454400
1.242176,2.496000
1.242752,2.454400
1.243008,2.496000
1.243840,2.537600
1.244672,2.579200
1.245504,2.620800
1.246336,2.662400
1.247168,2.704000
1.248000,2.745600
1.248832,2.787200
1.249664,2.828800
1.250496,2.870400
1.251328,2.912000
1.252160,2.953600
1.252992,2.995200
1.281472,3.036800
1.286464,3.078400
1.293696,3.036800
1.297280,3.078400
1.298112,3.120000
1.298688,3.078400
1.298944,3.120000
1.299520,3.078400
1.299776,3.120000
1.300352,3.078400
1.300608,3.120000
1.301184,3.078400
1.301440,3.120000
1.302016,3.078400
1.302272,3.120000
1.302848,3.078400
1.303104,3.120000
1.303680,3.078400
1.303936,3.120000
1.304512,3.078400
1.304768,3.120000
1.305344,3.078400
1.305600,3.120000
1.306176,3.078400
1.306432,3.120000
1.307008,3.078400
1.307264,3.120000
1.307840,3.078400
1.308096,3.120000
1.308672,3.078400
1.308928,3.120000
1.309760,3.161600
1.310592,3.203200
1.311424,3.244800
1.312256,3.286400
1.313088,3.328000
1.313920,3.369600
1.314752,3.411200
1.315584,3.452800
1.316416,3.494400
1.344064,3.536000
1.349056,3.577600
1.356288,3.536000
1.359872,3.577600
1.360704,3.619200
1.361280,3.577600
1.361536,3.619200
1.362112,3.577600
1.362368,3.619200
1.362944,3.577600
1.363200,3.619200
1.363776,3.577600
1.364032,3.619200
1.364608,3.577600
1.364864,3.619200
1.365440,3.577600
1.365696,3.619200
1.366272,3.577600
1.366528,3.619200
1.367104,3.577600
1.367360,3.619200
1.367936,3.577600
1.368192,3.619200
1.368768,3.577600
1.369024,3.619200
1.369600,3.577600
1.369856,3.619200
1.370432,3.577600
1.370688,3.619200
1.371264,3.577600
1.371520,3.619200
1.372096,3.577600
1.372352,3.619200
1.372928,3.577600
1.373184,3.619200
1.373760,3.577600
1.374016,3.619200
1.374592,3.577600
1.374848,3.619200
1.375424,3.577600
1.375680,3.619200
1.376256,3.577600
1.376512,3.619200
1.377088,3.577600
1.377344,3.619200
1.377920,3.577600
1.378176,3.619200
1.378752,3.577600
1.379008,3.619200
1.379584,3.577600
1.379840,3.619200
1.380416,3.577600
1.381248,3.536000
1.382080,3.494400
1.382912,3.452800
1.383744,3.411200
1.384576,3.369600
1.385408,3.328000
1.386240,3.286400
1.387072,3.244800
1.406656,3.286400
1.411648,3.328000
1.418880,3.286400
1.422464,3.328000
1.423296,3.369600
1.423872,3.328000
1.424128,3.369600
1.424960,3.411200
1.425792,3.452800
1.426624,3.494400
1.427456,3.536000
1.428288,3.577600
1.429120,3.619200
1.429952,3.660800
1.430784,3.702400
1.431616,3.744000
1.432448,3.785600
1.433280,3.827200
1.434112,3.868800
1.434688,3.827200
1.434944,3.868800
1.435520,3.827200
1.435776,3.868800
1.436352,3.827200
1.436608,3.868800
1.437184,3.827200
1.437440,3.868800
1.438016,3.827200
1.438272,3.868800
1.438848,3.827200
1.439104,3.868800
1.439680,3.827200
1.439936,3.868800
1.440512,3.827200
1.440768,3.868800
1.441344,3.827200
1.441600,3.868800
1.442176,3.827200
1.442432,3.868800
1.443008,3.827200
1.443264,3.868800
1.443840,3.827200
1.444672,3.785600
1.445504,3.744000
1.446336,3.702400
1.447168,3.660800
1.448000,3.619200
1.448832,3.577600
1.449664,3.536000
1.450496,3.494400
1.451328,3.452800
1.452160,3.411200
1.452992,3.369600
1.469248,3.411200
1.474240,3.452800
1.481472,3.411200
1.485056,3.452800
1.485888,3.494400
1.486464,3.452800
1.486720,3.494400
1.487552,3.536000
1.488384,3.577600
1.489216,3.619200
1.490048,3.660800
1.490880,3.702400
1.491712,3.744000
1.492544,3.785600
1.493376,3.827200
1.494208,3.868800
1.495040,3.910400
1.495872,3.952000
1.496704,3.993600
1.497280,3.952000
1.497536,3.993600
1.498112,3.952000
1.498368,3.993600
1.498944,3.952000
1.499200,3.993600
1.499776,3.952000
1.500032,3.993600
1.500608,3.952000
1.500864,3.993600
1.501440,3.952000
1.501696,3.993600
1.502272,3.952000
1.502528,3.993600
1.503104,3.952000
1.503360,3.993600
1.503936,3.952000
1.504192,3.993600
1.504768,3.952000
1.505024,3.993600
1.505600,3.952000
1.505856,3.993600
1.506432,3.952000
1.506688,3.993600
1.507264,3.952000
1.508096,3.910400
1.508928,3.868800
1.509760,3.827200
1.510592,3.785600
1.511424,3.744000
1.512256,3.702400
1.513088,3.660800
1.513920,3.619200
1.514752,3.577600
1.515584,3.536000
1.516416,3.494400
1.531840,3.536000
1.536832,3.577600
1.544064,3.536000
1.547648,3.577600
1.548480,3.619200
1.549056,3.577600
1.549312,3.619200
1.550144,3.660800
1.550976,3.702400
1.551808,3.744000
1.552640,3.785600
1.553472,3.827200
1.554304,3.868800
1.555136,3.910400
1.555968,3.952000
1.556800,3.993600
1.557632,4.035200
1.558464,4.076800
1.559296,4.118400
1.559872,4.076800
1.560128,4.118400
1.560704,4.076800
1.560960,4.118400
1.561536,4.076800
1.561792,4.118400
1.562368,4.076800
1.562624,4.118400
1.563200,4.076800
1.563456,4.118400
1.564032,4.076800
1.564288,4.118400
1.564864,4.076800
1.565120,4.118400
1.565696,4.076800
1.565952,4.118400
1.566528,4.076800
1.566784,4.118400
1.567360,4.076800
1.567616,4.118400
1.568192,4.076800
1.568448,4.118400
1.569024,4.076800
1.569280,4.118400
1.569856,4.076800
1.570112,4.118400
1.570688,4.076800
1.571520,4.035200
1.572352,3.993600
1.573184,3.952000
1.574016,3.910400
1.574848,3.868800
1.575680,3.827200
1.576512,3.785600
1.577344,3.744000
1.578176,3.702400
1.579008,3.660800
1.579840,3.619200
1.594432,3.660800
1.599424,3.702400
1.606656,3.660800
1.610240,3.702400
1.611072,3.744000
1.611648,3.702400
1.611904,3.744000
1.612736,3.785600
1.613568,3.827200
1.614400,3.868800
1.615232,3.910400
1.616064,3.952000
1.616896,3.993600
1.617728,4.035200
1.618560,4.076800
1.619392,4.118400
1.620224,4.160000
1.621056,4.201600
1.621888,4.243200
1.622464,4.201600
1.622720,4.243200
1.623296,4.201600
1.623552,4.243200
1.624128,4.201600
1.624384,4.243200
1.624960,4.201600
1.625216,4.243200
1.625792,4.201600
1.626048,4.243200
1.626624,4.201600
1.626880,4.243200
1.627456,4.201600
1.627712,4.243200
1.628288,4.201600
1.628544,4.243200
1.629120,4.201600
1.629376,4.243200
1.629952,4.201600
1.630208,4.243200
1.630784,4.201600
1.631040,4.243200
1.631616,4.201600
1.631872,4.243200
1.632448,4.201600
1.632704,4.243200
1.633280,4.201600
1.633536,4.243200
1.634112,4.201600
1.634944,4.160000
1.635776,4.118400
1.636608,4.076800
1.637440,4.035200
1.638272,3.993600
1.639104,3.952000
1.639936,3.910400
1.640768,3.868800
1.641600,3.827200
1.642432,3.785600
1.643264,3.744000
1.657024,3.785600
1.662016,3.827200
1.669248,3.785600
1.672832,3.827200
1.673664,3.868800
1.674240,3.827200
1.674496,3.868800
1.675328,3.910400
1.676160,3.952000
1.676992,3.993600
1.677824,4.035200
1.678656,4.076800
1.679488,4.118400
1.680320,4.160000
1.681152,4.201600
1.681984,4.243200
1.682816,4.284800
1.683648,4.326400
1.684480,4.368000
1.685056,4.326400
1.685312,4.368000
1.685888,4.326400
1.686144,4.368000
1.686720,4.326400
1.686976,4.368000
1.687552,4.326400
1.687808,4.368000
1.688384,4.326400
1.688640,4.368000
1.689216,4.326400
1.689472,4.368000
1.690048,4.326400
1.690304,4.368000
1.690880,4.326400
1.691136,4.368000
1.691712,4.326400
1.691968,4.368000
1.692544,4.326400
1.692800,4.368000
1.693376,4.326400
1.693632,4.368000
1.694208,4.326400
1.694464,4.368000
1.695040,4.326400
1.695296,4.368000
1.695872,4.326400
1.696128,4.368000
1.696704,4.326400
1.696960,4.368000
1.697536,4.326400
1.698368,4.284800
1.699200,4.243200
1.700032,4.201600
1.700864,4.160000
1.701696,4.118400
1.702528,4.076800
1.703360,4.035200
1.704192,3.993600
1.705024,3.952000
1.705856,3.910400
1.706688,3.868800
1.719616,3.910400
1.724608,3.952000
1.731840,3.910400
1.735424,3.952000
1.736256,3.993600
1.736832,3.952000
1.737088,3.993600
1.737920,4.035200
1.738752,4.076800
1.739584,4.118400
1.740416,4.160000
1.741248,4.201600
1.742080,4.243200
1.742912,4.284800
1.743744,4.326400
1.744576,4.368000
1.745408,4.409600
1.746240,4.451200
1.747072,4.492800
1.747648,4.451200
1.747904,4.492800
1.748480,4.451200
1.748736,4.492800
1.749312,4.451200
1.749568,4.492800
1.750144,4.451200
1.750400,4.492800
1.750976,4.451200
1.751232,4.492800
1.751808,4.451200
1.752064,4.492800
1.752640,4.451200
1.752896,4.492800
1.753472,4.451200
1.753728,4.492800
1.754304,4.451200
1.754560,4.492800
1.755136,4.451200
1.755392,4.492800
1.755968,4.451200
1.756224,4.492800
1.756800,4.451200
1.757056,4.492800
1.757632,4.451200
1.757888,4.492800
1.758464,4.451200
1.758720,4.492800
1.759296,4.451200
1.759552,4.492800
1.760128,4.451200
1.760384,4.492800
1.760960,4.451200
1.761792,4.409600
1.762624,4.368000
1.763456,4.326400
1.764288,4.284800
1.765120,4.243200
1.765952,4.201600
1.766784,4.160000
1.767616,4.118400
1.768448,4.076800
1.769280,4.035200
1.770112,3.993600
1.782208,4.035200
1.787200,4.076800
1.794432,4.035200
1.798016,4.076800
1.798848,4.118400
1.799424,4.076800
1.799680,4.118400
1.800512,4.160000
1.801344,4.201600
1.802176,4.243200
1.803008,4.284800
1.803840,4.326400
1.804672,4.368000
1.805504,4.409600
1.806336,4.451200
1.807168,4.492800
1.808000,4.534400
1.808832,4.576000
1.809664,4.617600
1.810240,4.576000
1.810496,4.617600
1.811072,4.576000
1.811328,4.617600
1.811904,4.576000
1.812160,4.617600
1.812736,4.576000
1.812992,4.617600
1.813568,4.576000
1.813824,4.617600
1.814400,4.576000
1.814656,4.617600
1.815232,4.576000
1.815488,4.617600
1.816064,4.576000
1.816320,4.617600
1.816896,4.576000
1.817152,4.617600
1.817728,4.576000
1.817984,4.617600
1.818560,4.576000
1.818816,4.617600
1.819392,4.576000
1.819648,4.617600
1.820224,4.576000
1.820480,4.617600
1.821056,4.576000
1.821312,4.617600
1.821888,4.576000
1.822144,4.617600
1.822720,4.576000
1.822976,4.617600
1.823552,4.576000
1.823808,4.617600
1.824384,4.576000
1.825216,4.534400
1.826048,4.492800
1.826880,4.451200
1.827712,4.409600
1.828544,4.368000
1.829376,4.326400
1.830208,4.284800
1.831040,4.243200
1.831872,4.201600
1.832704,4.160000
1.833536,4.118400
1.844800,4.160000
1.849792,4.201600
1.857024,4.160000
1.860608,4.201600
1.861440,4.243200
1.862016,4.201600
1.862272,4.243200
1.863104,4.284800
1.863936,4.326400
1.864768,4.368000
1.865600,4.409600
1.866432,4.451200
1.867264,4.492800
1.868096,4.534400
1.868928,4.576000
1.869760,4.617600
1.870592,4.659200
1.871424,4.700800
1.872256,4.742400
1.872832,4.700800
1.873088,4.742400
1.873664,4.700800
1.873920,4.742400
1.874496,4.700800
1.874752,4.742400
1.875328,4.700800
1.875584,4.742400
1.876160,4.700800
1.876416,4.742400
1.876992,4.700800
1.877248,4.742400
1.877824,4.700800
1.878080,4.742400
1.878656,4.700800
1.878912,4.742400
1.879488,4.700800
1.879744,4.742400
1.880320,4.700800
1.880576,4.742400
1.881152,4.700800
1.881408,4.742400
1.881984,4.700800
