time_ticks,throughput_ticks
10.091016,1.117200
10.091184,1.125600
10.091352,1.134000
10.091520,1.142400
10.092520,1.150800
10.092688,1.159200
10.092856,1.167600
10.093024,1.176000
10.093192,1.184400
10.094192,1.192800
10.095192,1.201200
10.095360,1.209600
10.095528,1.218000
10.095696,1.226400
10.097528,1.234800
10.097696,1.243200
10.097864,1.251600
10.098032,1.260000
10.099864,1.268400
10.100032,1.276800
10.100200,1.285200
10.100368,1.293600
10.100536,1.302000
10.100704,1.310400
10.100872,1.318800
10.101040,1.327200
10.101208,1.335600
10.101376,1.344000
10.102376,1.352400
10.104208,1.360800
10.104376,1.369200
10.104544,1.377600
10.104712,1.386000
10.104880,1.394400
10.105048,1.402800
10.106048,1.411200
10.106216,1.419600
10.106384,1.428000
10.106552,1.436400
10.106720,1.444800
10.107720,1.453200
10.107888,1.461600
10.108056,1.470000
10.108224,1.478400
10.108392,1.486800
10.109392,1.495200
10.109560,1.503600
10.109728,1.512000
10.109896,1.520400
10.110064,1.528800
10.110232,1.537200
10.111232,1.545600
10.111400,1.554000
10.111568,1.562400
10.111736,1.570800
10.111904,1.579200
10.112072,1.587600
10.113072,1.596000
10.113240,1.604400
10.113408,1.612800
10.113576,1.621200
10.113744,1.629600
10.113912,1.638000
10.114912,1.646400
10.115080,1.654800
10.115248,1.663200
10.115416,1.671600
10.116416,1.680000
10.116584,1.688400
10.116752,1.696800
10.116920,1.705200
10.117088,1.713600
10.117256,1.722000
10.117424,1.730400
10.117592,1.738800
10.117760,1.747200
10.118760,1.755600
10.118928,1.764000
10.119096,1.772400
10.119264,1.780800
10.119432,1.789200
10.120432,1.797600
10.120600,1.806000
10.120768,1.814400
10.120936,1.822800
10.121936,1.831200
10.122104,1.839600
10.122272,1.848000
10.122440,1.856400
10.123440,1.864800
10.123608,1.873200
10.123776,1.881600
10.123944,1.890000
10.124112,1.898400
10.124280,1.906800
10.124448,1.915200
10.124616,1.923600
10.124784,1.932000
10.124952,1.940400
10.125120,1.948800
10.125288,1.957200
10.125456,1.965600
10.125624,1.974000
10.125792,1.982400
10.125960,1.990800
10.126128,1.999200
10.126296,2.007600
10.126464,2.016000
10.126632,2.024400
10.126800,2.032800
10.126968,2.041200
10.127136,2.049600
10.127304,2.058000
10.127472,2.066400
10.127640,2.074800
10.127808,2.083200
10.127976,2.091600
10.128144,2.100000
10.128312,2.108400
10.128480,2.116800
10.128648,2.125200
10.128816,2.133600
10.128984,2.142000
10.129152,2.150400
10.129320,2.158800
10.130320,2.167200
10.130488,2.175600
10.130656,2.184000
10.130824,2.192400
10.130992,2.200800
10.131160,2.209200
10.131328,2.217600
10.131496,2.226000
10.131664,2.234400
10.131832,2.242800
10.132000,2.251200
10.132168,2.259600
10.132336,2.268000
10.132504,2.276400
10.132672,2.284800
10.132840,2.293200
10.133008,2.301600
10.133176,2.310000
10.133344,2.318400
10.133512,2.326800
10.133680,2.335200
10.133848,2.343600
10.134016,2.352000
10.134184,2.360400
10.134352,2.368800
10.134520,2.377200
10.134688,2.385600
10.134856,2.394000
10.135024,2.402400
10.135192,2.410800
10.135360,2.419200
10.135528,2.427600
10.135696,2.436000
10.135864,2.444400
10.136032,2.452800
10.136200,2.461200
10.136368,2.469600
10.136536,2.478000
10.136704,2.486400
10.136872,2.494800
10.137040,2.503200
10.137208,2.511600
10.137376,2.520000
10.137544,2.528400
10.137712,2.536800
10.137880,2.545200
10.138048,2.553600
10.138216,2.562000
10.138384,2.570400
10.138552,2.578800
10.138720,2.587200
10.138888,2.595600
10.139056,2.604000
10.139224,2.612400
10.139392,2.620800
10.139560,2.629200
10.139728,2.637600
10.139896,2.646000
10.140064,2.654400
10.140232,2.662800
10.140400,2.671200
10.140568,2.679600
10.140736,2.688000
10.140904,2.696400
10.141072,2.704800
10.141240,2.713200
10.141408,2.721600
10.141576,2.730000
10.141744,2.738400
10.141912,2.746800
10.142080,2.755200
10.142248,2.763600
10.142416,2.772000
10.142584,2.780400
10.142752,2.788800
10.142920,2.797200
10.143088,2.805600
10.143256,2.814000
10.143424,2.822400
10.143592,2.830800
10.143760,2.839200
10.143928,2.847600
10.144096,2.856000
10.144264,2.864400
10.144432,2.872800
10.144600,2.881200
10.144768,2.889600
10.144936,2.898000
10.145104,2.906400
10.145272,2.914800
10.145440,2.923200
10.145608,2.931600
10.145776,2.940000
10.145944,2.948400
10.146112,2.956800
10.146280,2.965200
10.146448,2.973600
10.146616,2.982000
10.146784,2.990400
10.146952,2.998800
10.147120,3.007200
10.147288,3.015600
10.147456,3.024000
10.147624,3.032400
10.147792,3.040800
10.147960,3.049200
10.148128,3.057600
10.148296,3.066000
10.148464,3.074400
10.148632,3.082800
10.148800,3.091200
10.148968,3.099600
10.149136,3.108000
10.149304,3.116400
10.149472,3.124800
10.149640,3.133200
10.149808,3.141600
10.149976,3.150000
10.150144,3.158400
10.150312,3.166800
10.150480,3.175200
10.150648,3.183600
10.150816,3.192000
10.150984,3.200400
10.151152,3.208800
10.151320,3.217200
10.151488,3.225600
10.151656,3.234000
10.151824,3.242400
10.151992,3.250800
10.152160,3.259200
10.152328,3.267600
10.152496,3.276000
10.152664,3.284400
10.152832,3.292800
10.153000,3.301200
10.153168,3.309600
10.153336,3.318000
10.153504,3.326400
10.153672,3.334800
10.153840,3.343200
10.154008,3.351600
10.154176,3.360000
10.154344,3.368400
10.154512,3.376800
10.154680,3.385200
10.154848,3.393600
10.155016,3.402000
10.155184,3.410400
10.155352,3.418800
10.155520,3.427200
10.155688,3.435600
10.155856,3.444000
10.156024,3.452400
10.156192,3.460800
10.156360,3.469200
10.156528,3.477600
10.156696,3.486000
10.156864,3.494400
10.157032,3.502800
10.157200,3.511200
10.157368,3.519600
10.157536,3.528000
10.157704,3.536400
10.157872,3.544800
10.158040,3.553200
10.158208,3.561600
10.158376,3.570000
10.158544,3.578400
10.158712,3.586800
10.158880,3.595200
10.159048,3.603600
10.159216,3.612000
10.159384,3.620400
10.159552,3.628800
10.159720,3.637200
10.159888,3.645600
10.160056,3.654000
10.160224,3.662400
10.160392,3.670800
10.160560,3.679200
10.160728,3.687600
10.160896,3.696000
10.161064,3.704400
10.161232,3.712800
10.161400,3.721200
10.161568,3.729600
10.161736,3.738000
10.161904,3.746400
10.162072,3.754800
10.162240,3.763200
10.162408,3.771600
10.162576,3.780000
10.162744,3.788400
10.162912,3.796800
10.163080,3.805200
10.163248,3.813600
10.163416,3.822000
10.163584,3.830400
10.163752,3.838800
10.163920,3.847200
10.164088,3.855600
10.164256,3.864000
10.164424,3.872400
10.164592,3.880800
10.164760,3.889200
10.164928,3.897600
10.165096,3.906000
10.165264,3.914400
10.165432,3.922800
10.165600,3.931200
10.165768,3.939600
